LSRNumber,LSRTitle,BillNumber,BillAnalysis,BillURL,PrimeSponsor,Sponsors,pubDate
21-0204,relative to alternative compliance payments for renewable energy obligations not met through the purchase of renewable energy credits.,,,,Anne Copp,,1/4/2021
21-0205,making the state vaccine registry an opt-in program.,HB 185-FN,This bill removes the work and community engagement requirements of the New Hampshire granite advantage health care program.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=205&txtFormat=html,Timothy Lang,"Jeanine Notter, Kimberly Rice, Kevin Avard, David Binford, Tony Lekas, Hershel Nunez, Mike Bordes, Juliet Harvey-Bolia, Douglas Trottier, Diane Pauer",1/4/2021
21-0206,establishing medical freedom in immunizations.,HB 396,This bill requires the public utilities commission to report its estimates of total yearly production for customer-sited sources that are net metered but which are not issued renewable energy certificates and removes the credit to electric providers.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=206&txtFormat=html,Timothy Lang,"Jeanine Notter, Kimberly Rice, Claire Rouillard, Kevin Avard, David Binford, Howard Pearl, Hershel Nunez, Mike Bordes, Juliet Harvey-Bolia, Diane Pauer",11/23/2020
21-0207,"relative to hearings of the New Hampshire board of nursing.
",,,,Ruth Ward,,11/23/2020
21-0208,"relative to nursing home standards.

",,,,Ruth Ward,,1/4/2021
21-0209,relative to placement and removal of political advertising.,,,,Norman Silber,,1/4/2021
21-0211,relative to using Atlantic Standard Time in New Hampshire.,HB 235,This bill requires the department of environmental services to adopt rules relative to certain withdrawals of groundwater.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=211&txtFormat=html,Josh Yokela,"Gregory Hill, Kristina Schultz, Alicia Lekas, Michael Yakubovich",1/5/2021
21-0212,repealing the prohibition on armed civilian groups.,HB 137,"This bill exempts certain statewide standards and protocols relative to information technology, networks, telephony, and cyber security developed by the department of information technology from rulemaking under RSA 541-A.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=212&txtFormat=html,Michael Yakubovich,"Tony Lekas, Terry Roy, Erica Layon",1/4/2021
21-0213,relative to the calculation of net energy metering payments or credits.,,,,Fred Plett,,1/4/2021
21-0214,relative to the submission of evidence in divorce proceedings.,SB 30,"This bill permits the towns of Northfield and Tilton, upon a 2/3 vote of both towns, to change their boundary line.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=214&txtFormat=html,Josh Yokela,"Linda Gould, Scott Wallace",1/4/2021
21-0215,relative to the date of the state primary election.,HB 262,This bill requires all bylaws and ordinances to state the enabling statute.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=215&txtFormat=html,Joe Sweeney,"Joe Alexander, Cam Kenney",1/4/2021
21-0217,relative to campaign finance reform.,,,,Joe Sweeney,"Joe Alexander, Ross Berry",1/4/2021
21-0218,relative to the adoption of bylaws and ordinances by municipalities.,HB 98,This bill changes the date of the state primary election to the first Tuesday in June.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=218&txtFormat=html,Josh Yokela,,1/4/2021
21-0221,relative to the rulemaking authority of the department of information technology.,HB 86,This bill repeals the prohibition on armed civilian groups.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=221&txtFormat=html,Lynne Ober,"Sharon Carson, Kenneth Weyler, Carol McGuire, Tracy Emerick",1/4/2021
21-0222,relative to community small groundwater withdrawal.,HB 85,This bill provides that New Hampshire will use Atlantic Standard Time throughout the calendar year if Massachusetts and Maine also move to Atlantic Standard Time.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=222&txtFormat=html,Mark Pearson,"Kenneth Weyler, Regina Birdsell, Joseph Guthrie, David Welch, Dennis Green, Jeffrey Salloway, Deborah Hobson",1/4/2021
21-0223,relative to construction standards for schools.,,,,Mark Pearson,"Marjorie Porter, Bill Nelson, Jerry Knirk, Gary Woods, Gary Merchant",1/4/2021
21-0225,relative to appointment of counsel in juvenile court proceedings.,,,,Paul Berch,"Marjorie Smith, Mary Beth Walz, Claire Rouillard, Edward Gordon, Jeffrey Salloway, Cassandra  Levesque, Cody Belanger",12/14/2020
21-0226,relative to recount fees.,HB 223,This bill authorizes political parties to request and subscribe to the absentee ballot request list from the secretary of state.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=226&txtFormat=html,James Gray,,1/5/2021
21-0227,relative to the official ballot referendum form of town meetings.,HB 224,This bill allows for after market tinting of side windows.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=227&txtFormat=html,Diane Pauer,"Carol McGuire, Mark Warden, John Lewicke, Josh Yokela",1/4/2021
21-0228,relative to employee time records.,HB 259,This bill permits an employee to purchase optional or alternative company uniforms offered by the company.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=228&txtFormat=html,Josh Yokela,,1/4/2021
21-0229,relative to employee uniforms.,HB 258,This bill requires an employer to permit an employee to electronically sign or acknowledge alterations to such employee's wage and hour records.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=229&txtFormat=html,Josh Yokela,,1/4/2021
21-0230,relative to tinted windows on motor vehicles.,HB 374,This bill amends the method of adopting official ballot referendum form of meeting.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=230&txtFormat=html,Josh Yokela,"Max Abramson, Gregory Hill, Michael Yakubovich, Travis O'Hara, Cody Belanger",1/4/2021
21-0231,relative to political party access to a list of absentee ballot requests. ,,,,Joe Sweeney,Joe Alexander,1/4/2021
21-0233,relative to the calculation of child support.,,,,Josh Yokela,"Patrick Abrami, Dennis Malloy, Peter Petrigno",1/4/2021
21-0234,relative to abandoned underwater cables.,HB 243,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=234&txtFormat=html,Norman Silber,"Raymond Howard, Betty Gay, Harry Bean, Mike Bordes, Gregg Hough, Paul Terry, Travis O'Hara",1/4/2021
21-0236,relative to the calculation of child support in cases with equal or approximately equal parenting time.,HB 566,"This bill requires that sealed minutes in nonpublic sessions under the right-to-know law may be unsealed if in the opinion of a majority of members voting in nonpublic session determine that circumstances have changed.  The minutes sealed pursuant to RSA 91-A:3, II(d) would become public after one year.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=236&txtFormat=html,Debra DeSimone,,1/4/2021
21-0237,relative to maximum vehicle speed limitations.,,,,Josh Yokela,,12/21/2020
21-0239,relative to sealing records in nonpublic session under the right-to-know law.,HB 228,This bill provides a formula for the calculation of child support in cases with equal or approximately equal parenting time.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=239&txtFormat=html,Josh Yokela,Michael Yakubovich,1/4/2021
21-0240,repealing the regulation of household goods carriers.,,,,Josh Yokela,,1/4/2021
21-0241,	 relative to the form of municipal budgets.,HB 219,"This bill repeals RSA 332-J, relative to athlete agents.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=241&txtFormat=html,Tony Piemonte,"Kenneth Weyler, Michael Sylvia, Jason Osborne, Chris True, Kevin Verville, Jess Edwards, Peter Torosian, Bill Gannon, Michael Yakubovich",1/4/2021
21-0242,repealing the state health assessment and state health improvement plan council.,HB 218,"This bill repeals RSA 321, relative to itinerant vendors.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=242&txtFormat=html,Jess Edwards,Mark Pearson,1/4/2021
21-0243,relative to workplace lactation rights.,HB 217,"This bill repeals RSA 320, relative to the regulation of hawkers and peddlers.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=243&txtFormat=html,Richard Abel,"Christy Bartlett, Laurel Stavis, Kristina Fargo",1/4/2021
21-0244,repealing RSA 323 regarding lightning rod dealers and salesmen.,HB 208,"This bill repeals RSA 323, relative to lightning rod dealers and salesmen.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=244&txtFormat=html,Josh Yokela,,1/4/2021
21-0245,repealing RSA 320 regarding hawkers and peddlers.,HB 231,This bill directs employers to provide access to reasonable accommodations for employees who are lactating.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=245&txtFormat=html,Josh Yokela,,1/4/2021
21-0246,repealing RSA 321 regarding itinerant vendors.,HB 157,This bill repeals the state health improvement plan and the state health improvement plan advisory council.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=246&txtFormat=html,Josh Yokela,,1/4/2021
21-0247,repealing RSA 332-J regarding athlete agents.,HB 222-FN,"This bill adds New Hampshire municipalities to the list of organizations approved to issue decals for multi-use plates, provided that such decals are issued solely to municipal officers upon showing of proof of office.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=247&txtFormat=html,Josh Yokela,,12/30/2020
21-0249,allowing voters to vote by absentee ballot.,HB 177,"This bill prohibits the siting of new landfills, excluding expansions of existing landfills, near state parks.  This bill also defines state parks for the purposes of prohibiting the siting of new landfills.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=249&txtFormat=html,Katherine Rogers,"David Watters, Donna Soucy, Peter Leishman, Ellen Read, Kate Murray, Kristina Schultz, Nicole Klein-Knight",12/23/2020
21-0250,relative to the funding source for the domestic violence programs fund.,,,,Jess Edwards,,1/4/2021
21-0253,relating to the retirement age of judges. Providing that the retirement age of judges be increased.,HB 248-FN,"This bill revises the minimum age for retirement and the calculation of retirement benefits for judges under the judicial retirement plan, RSA 100-C.  The changes are applicable to new judges who become members of the judicial retirement plan.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=253&txtFormat=html,Bob Lynn,,1/4/2021
21-0254,relative to the judicial retirement plan.,CACR 6,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=254&txtFormat=html,Bob Lynn,,12/4/2020
21-0255,establishing the coastal program administered by the department of environmental services,,,,David Watters,"Judith Spang, Michael Edgar, James Gray, Bill Gannon, Tom Sherman, Rebecca Perkins Kwoka",1/4/2021
21-0256,establishing a statewide solid waste disposal reduction goal. ,,,,David Watters,"Lou D'Allesandro, Karen Ebel, Chuck Grassie, Megan Murray, Cindy Rosenwald",11/25/2020
21-0257,establishing a dental benefit under the state Medicaid program.,HB 346,This bill provides that a portion of the marriage license fee shall be deposited in the general fund rather than the fund for domestic violence grant programs.  The bill directs certain funds from parking violations to the domestic violence grant program.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=257&txtFormat=html,Cindy Rosenwald,"Lou D'Allesandro, Jeb Bradley, David Watters, Donna Soucy, Mary Jane Wallner, Sharon Nordgren, William Marsh, Jay Kahn, Kevin Cavanaugh, Tom Sherman, Diane Langley, Suzanne Prentiss, Rebecca Whitley, Rebecca Perkins Kwoka",1/4/2021
21-0258,prohibiting the siting of a landfill near a state park.,HB 516-FN,This bill allows voters to vote by absentee ballot.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=258&txtFormat=html,Edith Tucker,"William Hatch, Larry Laflamme, Timothy Egan, Erin Hennessey, Dennis Thompson",12/30/2020
21-0259,relative to voter qualifications and registration procedures.,,,,Norman Silber,Max Abramson,1/4/2021
21-0260,authorizing New Hampshire municipalities to issue decals for motor vehicle plates to municipal officers.,HB 338-FN,This bill makes the crime of dog theft a class B felony.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=260&txtFormat=html,Cody Belanger,,1/4/2021
21-0261,"relative to on-premises cigar, beverage, and liquor licenses.",HB 339,This bill establishes a committee to study air quality in school buildings.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=261&txtFormat=html,Cody Belanger,"Al Baldasaro, Lino Avellani, Max Abramson, David Binford, Travis O'Hara",1/5/2021
21-0262, establishing a committee to study air quality in school buildings.,HB 337,This allows cigar bars to serve food and qualify for a liquor license.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=262&txtFormat=html,Brian Sullivan,Dianne Schuett,1/5/2021
21-0263,relative to penalties for dog theft and tampering with a dog's radio collar.,HB 214,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=263&txtFormat=html,Brian Sullivan,"Jeffrey Goley, Skip Rollins, Barbara Comtois",1/4/2021
21-0264,"defining ""wake boat.""",HB 215,This bill permits a school district to contract with an independent school or private school in this or another state.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=264&txtFormat=html,John MacDonald,"Suzanne Smith, Glenn Cordelli, Karel Crawford, Karen Ebel, Linda Tanner, Dan Wolf, William Marsh, Jerry Knirk, Roger Dontonville, Brodie Deshaies",1/4/2021
21-0265,relative to private rights of action regarding pupil safety.,HB 182,This bill requires the principal or other administrator of a high school to grant credit for courses and programs completed at other approved schools.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=265&txtFormat=html,Glenn Cordelli,"Barbara Shaw, Ralph Boehm, Rick Ladd, Jason Osborne, Kevin Verville, Ruth Ward, Alicia Lekas, Erica Layon",1/4/2021
21-0266,relative to approval of coursework completed at other approved schools,HB 140,This bill creates a private right of action for bullying and cyberbullying.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=266&txtFormat=html,Rick Ladd,"Ralph Boehm, Glenn Cordelli, Michael Moffett, Alicia Lekas, James Allard",1/4/2021
21-0267,permitting school districts to contract with independent schools and private schools.,HB 229,"This bill defines ""wake boat.""",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=267&txtFormat=html,Rick Ladd,"Ralph Boehm, Steven Smith, Glenn Cordelli, Alicia Lekas, James Allard, Travis O'Hara",1/4/2021
21-0268,relative to school building aid grants.,HB 232,"This bill permits nonpublic sessions under RSA 91-A for consideration of the amount paid, offered, or accepted for the sale or lease of property.  Nonpublic sessions would not be permitted for general discussions of whether to proceed with the sale or lease.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=268&txtFormat=html,Rick Ladd,James Allard,12/10/2020
21-0270,relative to career and technical education.,,,,David Watters,,12/30/2020
21-0271,relative to the manner of posting on land and the criminal penalty for such posting.,,,,John Reagan,"Carol McGuire, Bill Gannon, Harold French, Alan Bershtein, Suzanne Prentiss",12/29/2020
21-0272,restricting public officers from engaging in certain private dealings. ,SB 42,This bill prohibits a public official from providing services valued at more than $200 to the state or political subdivision in which he or she holds office unless the contract is obtained through open competitive bidding.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=272&txtFormat=html,John Reagan,"Sharon Carson, David Watters, Carol McGuire, James Spillane, Jay Kahn, Harold French, Tom Sherman, Suzanne Prentiss, Paul Tudor",12/30/2020
21-0273,relative to the manner of posting on land.,,,,John Reagan,"Sharon Carson, Jeb Bradley, Carol McGuire, Brian Seaworth, Jay Kahn, Bill Gannon, Harold French, Tom Sherman, Alan Bershtein",1/4/2021
21-0275,relative to the placement of minors in secure settings.,HB 505,This bill eliminates statutory restrictions on the ability of voters to vote for multiple candidates for the same office.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=275&txtFormat=html,Kimberly Rice,"Sharon Carson, Mary Jane Wallner, Marjorie Smith, Patrick Long, Cindy Rosenwald, Erin Hennessey",1/4/2021
21-0276,relative to nonpublic sessions under the right to know law.,HB 362,This bill repeals the consideration of a student's educational institution as his or her place of domicile for voting purposes.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=276&txtFormat=html,Gregg Hough,"Al Baldasaro, Michael Sylvia, Barbara Comtois, David Binford, Mike Bordes, Dawn Johnson, Douglas Trottier, Travis O'Hara",12/7/2020
21-0277,"relative to telemedicine provided by out of state psychologists.
",HB 570,"This bill permits certain political organizations to be called a minor party and appear on a general election ballot after holding a nominating convention.  This bill also allows political organizations to be a party by receiving 4 percent of votes cast for President of the United States, and allows a political organization to pay a fee in order to meet requirements for candidate nomination papers.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=277&txtFormat=html,John Reagan,"Sharon Carson, Jeb Bradley, James Spillane, Suzanne Prentiss, Paul Tudor",1/4/2021
21-0278,relative to collective bargaining agreement strategy discussions under the right-to-know law.,HB 568-FN-A,"This bill repeals the interest and dividends tax, RSA 77, effective January 1, 2025, and increases the exemptions for taxpayers each year prior to the repeal.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=278&txtFormat=html,Leonard Turcotte,"Glenn Cordelli, Michael Moffett, Hershel Nunez",1/4/2021
21-0279,relative to urging Congress to practice fiscal restraint and applying to Congress for a Constitutional Convention for such purpose.,,,,Max Abramson,David Binford,1/4/2021
21-0280,relative to prior authorizations and patient transfers under managed care group health insurance policies.,,,,William Marsh,"Jerry Knirk, Jay Kahn, Kevin Cavanaugh, Tom Sherman, Joyce Weston, Gary Woods, James Murphy",1/4/2021
21-0281,relative to physical force in defense of a person.,HB 372-FN,This bill permits county and municipal attorneys to enforce election laws.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=281&txtFormat=html,Max Abramson,,1/4/2021
21-0282,relative to the definition of grocery or convenience store.,HB 244,This bill amends the membership and duties of the joint health care reform oversight committee.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=282&txtFormat=html,Max Abramson,"David Binford, Juliet Harvey-Bolia",1/4/2021
21-0283,relative to the membership and duties of the joint health care reform oversight committee.,HB 245,This bill removes the requirement that grocery and convenience stores keep a certain value of inventory in stock.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=283&txtFormat=html,Max Abramson,,1/5/2021
21-0284,relative to enforcement of the elections laws.,HB 145,This bill removes certain instances where using deadly force to defend oneself or another person is not legally justifiable.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=284&txtFormat=html,Max Abramson,"Michael Yakubovich, Juliet Harvey-Bolia",11/24/2020
21-0285,relative to innovation schools.,HB 191,This bill adds requirements for prior authorizations under managed care health benefit plans and the administration of patient transfers to another health care facility.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=285&txtFormat=html,Glenn Cordelli,"John Reagan, Barbara Shaw, Rick Ladd, Joseph Pitre, Gregory Hill, Maureen Mooney, Ruth Ward, Alicia Lekas",1/4/2021
21-0287,increasing exemptions to the interest and dividends tax and repealing the tax in 2025.,HB 206,This bill requires that collective bargaining agreement strategy discussions where only one party is present shall not constitute a meeting open to the public under the right-to-know law.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=287&txtFormat=html,Norman Silber,"Al Baldasaro, Carol McGuire, Jason Osborne, John Potucek, Gary Daniels, Maureen Mooney, David Binford, Denise Ricciardi, Erica Layon",12/30/2020
21-0288,permitting certain political organizations to appear on a general election ballot as a minor party after holding a nominating convention.  ,,,,Max Abramson,Tony Labranche,1/4/2021
21-0289,relative to domicile of students for voting purposes.,HB 193,"This bill provides that any person who negligently or recklessly causes timber to be cut on the land of another shall be guilty of trespass under RSA 227-J, relative to timber harvesting.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=289&txtFormat=html,Norman Silber,,1/4/2021
21-0290,requiring bottled drinking water sold to the public to meet the same maximum contaminant levels established for public drinking water.,HB 227,This bill adds the expiration of the term of the lease or tenancy if over 6 months as grounds for an eviction.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=290&txtFormat=html,Chuck Grassie,"Bruce Cohen, Cassandra  Levesque",1/4/2021
21-0291,relative to the definition of prime wetland.,HB 249,This bill:,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=291&txtFormat=html,Chuck Grassie,"Suzanne Vail, Deb Stevens",1/4/2021
21-0292,establishing a condominium dispute resolution board.,HB 367,"This bill makes certain requirements for a dog, cat, or ferret to receive a health certificate, including a 7 day quarantine period for imported animals.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=292&txtFormat=html,Edward Gordon,Susan Almy,1/4/2021
21-0293,relative to the licensure and regulation of music therapists.,HB 366,This bill defines animal hoarding and sets forth a procedure for a person charged with animal hoarding to be given a psychiatric evaluation.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=293&txtFormat=html,Kat McGhee,,1/4/2021
21-0294,establishing a committee to study best practices for companion animal groomers.,HB 250,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=294&txtFormat=html,Jim Maggiore,Amanda Gourgue,1/4/2021
21-0295,giving peace officer status to federal law enforcement officers.,HB 226,This bill extends the date for the repeal of the laws on produce safety.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=295&txtFormat=html,Janice Schmidt,Steve Shurtleff,1/4/2021
21-0296,relative to the repeal of laws on produce safety.,HB 365,This bill allows federal law enforcement officers to be certified by the commissioner of the department of safety for the purpose of making arrests.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=296&txtFormat=html,Howard Pearl,"Michael Moffett, Timothy Lang",1/4/2021
21-0297,relative to pet vendors.,HB 92,This bill establishes a committee to study best practices for companion animal groomers.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=297&txtFormat=html,Howard Pearl,"Max Abramson, Michael Moffett, Timothy Lang, Gerald Griffin, Margaret Kennedy",1/4/2021
21-0298, defining animal hoarding.,HB 209-FN,This bill establishes the music therapy governing board in the office of allied health professionals for the licensure and regulation of practitioners of music therapy.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=298&txtFormat=html,Howard Pearl,"Michael Moffett, Timothy Lang",1/4/2021
21-0299,relative to animal health certificates and quarantine requirements for animals imported into the state.,HB 336,This bill establishes a condominium dispute resolution board to resolve matters involving condominium associations and unit owners.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=299&txtFormat=html,Howard Pearl,"Michael Moffett, Timothy Lang",1/4/2021
21-0300,relative to animal shelter facilities.,HB 158,This bill further defines prime wetland for local protection in fill and dredge permits.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=300&txtFormat=html,Howard Pearl,"Michael Moffett, Timothy Lang",1/4/2021
21-0301,relative to termination of tenancy at the expiration of the tenancy or lease term.,HB 335,This bill requires bottled water to comply with the maximum contaminant levels in the New Hampshire safe drinking water act.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=301&txtFormat=html,Bob Lynn,,1/4/2021
21-0302,relative to penalties for improper timber harvesting.,,,,Suzanne Smith,"Linda Gould, Edward Gordon, Bob Giuda, Joyce Weston, Erin Hennessey",1/4/2021
21-0304,relative to the right of any infant born alive to medically appropriate and reasonable care and treatment.,HB 364,This bill expands the definition of charitable organization to include fraternal organizations for the purposes of holding raffles.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=304&txtFormat=html,Jordan Ulery,Walter Stapleton,1/4/2021
21-0305,creating a committee to study the creation of a program giving employers tax credits on business taxes in exchange for providing stipends for child care needs to employees.,,,,Donovan Fenton,,1/4/2021
21-0306,creating a committee to study appointing an inspector general for nursing homes in New Hampshire.,HB 251-FN,This bill requires children under the age of 2 years old to be restrained in a rear facing child restraint in a motor vehicle.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=306&txtFormat=html,Donovan Fenton,Joe Alexander,12/23/2020
21-0307,relative to the rental of shared living facilities.,HB 360,This bill clarifies the process for termination of a rental of a shared facility and the remedies for tenants.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=307&txtFormat=html,Sherry Frost,,1/4/2021
21-0308,requiring children under the age of 2 yearsto be restrained in a motor vehicle.,HB 363,This bill creates a committee to study appointing an inspector general for nursing homes in New Hampshire.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=308&txtFormat=html,Donovan Fenton,,12/21/2020
21-0309,raising the limit on the maximum price of raffle tickets offered during bingo.,HB 252,This bill establishes a committee to study the creation of a program giving employers tax credits on business taxes in exchange for providing stipends for child care needs to employees.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=309&txtFormat=html,Jordan Ulery,,1/4/2021
21-0310,expanding the definition of charitable organization to include fraternal organizations for the purposes of holding raffles.,HB 233-FN,"This bill establishes the born alive infant protection act.  Under this bill, a person shall not deny or deprive an infant of nourishment with the intent to cause or alter the death of an infant during an abortion.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=310&txtFormat=html,Jordan Ulery,Walter Stapleton,1/4/2021
21-0311,relative to the referral of debts for collection. ,,,,Jordan Ulery,,12/29/2020
21-0312,prohibiting collective bargaining agreements that require employees to join a labor union.,HB 152,This bill permits the apportionment formula for a cooperative school district to be subject to review 5 years after an article to continue the current formula was passed.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=312&txtFormat=html,John Reagan,"Jeb Bradley, Carol McGuire, Dick Marston, James Spillane, Bill Gannon, Harold French, Alicia Lekas",1/4/2021
21-0313,"requiring town and city clerks to make electronic lists of persons who have requested, been mailed, or returned absentee ballots available to candidates upon request.",HB 370,"This bill provides that electors of the president and vice president of the United States shall be designated by the party that receives a plurality of votes in a plurality of executive council districts, and in the absence of such a plurality, shall be designated by the New Hampshire senate.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=313&txtFormat=html,Ross Berry,"Timothy Smith, Travis O'Hara",1/4/2021
21-0314,relative to financial disclosures by legislators.,HB 159-FN,This bill permits the New Hampshire State Council of the Knights of Columbus to issue decals for multi-use plates.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=314&txtFormat=html,Edward Gordon,Janet Wall,1/4/2021
21-0315,relative to minutes and decisions in nonpublic sessions under the right-to-know law.,,,,Jordan Ulery,"Carol McGuire, James Spillane, Tony Lekas",1/4/2021
21-0317,relative to organizations authorized to issue decals for multi-use decal number plates.,HB 190,This bill requires that the legislative ethics financial disclosure form for members and officers of the general court shall only be filed in January of the first year of the biennium.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=317&txtFormat=html,Jordan Ulery,,1/5/2021
21-0318,relative to the election of electors of the president and vice-president of the United States.,HB 326,"This bill requires that town and city clerks make electronic lists of persons who have requested, been mailed, or returned absentee ballots available to candidates upon request.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=318&txtFormat=html,Cody Belanger,"Max Abramson, Josh Yokela, Aidan Ankarberg",1/4/2021
21-0319,relative to the apportionment of costs in cooperative school districts.,HB 353,"This bill allows a taxpayer of the tax on interest and dividends to receive credit for taxes paid to another state of the United States, upon the taxpayer's interest and dividends income received from sources within that other state.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=319&txtFormat=html,Kat McGhee,,1/4/2021
21-0321,allowing voters to vote for multiple candidates for an office.,HB 174,This bill requires the reporting of a collision between a cat and a motor vehicle to the cat's owner or the police.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=321&txtFormat=html,Max Abramson,Aidan Ankarberg,12/1/2020
21-0324,"relative to removal of abandoned or disabled vehicles by towing.
 ",SB 18,This bill allows liquor manufacturers to offer samples at farmers markets.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=324&txtFormat=html,Regina Birdsell,,12/2/2020
21-0325,relative to certificate of boating safety.,SB 17,This bill allows municipalities to adopt ordinances to allow dogs in outdoor areas of brew pubs.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=325&txtFormat=html,Regina Birdsell,,1/5/2021
21-0327,relative to brew pubs allowing customers to bring dogs to outdoor areas.,,,,Regina Birdsell,"Sharon Carson, Bill Gannon, Kevin Cavanaugh, Tom Sherman",1/5/2021
21-0328,permitting tastings by liquor manufacturers at farmers markets.,,,,Regina Birdsell,"Sharon Carson, Harold French, Kevin Cavanaugh",1/5/2021
21-0329,relative to temporary docks.,,,,Suzanne Smith,"Mark McConkey, Andrew Renzullo",1/4/2021
21-0330,relative to death benefits of first responders who die from suicide.,,,,Daryl Abbas,"Fred Doucette, Timothy Lang, Terry Roy, Douglas Trottier",1/4/2021
