LSRNumber,LSRTitle,BillNumber,BillAnalysis,BillURL,PrimeSponsor,Sponsors,pubDate
21-0717,relative to the energy efficiency resource standard and the system benefits charge.,HB 561,This bill requires the clerk of the court to compile a list of the names of any persons who request to be excused from jury service for lack of residence in the county of jury service and transmit the names on the list to the secretary of state who shall publish the list on the secretary of state's website.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=717&txtFormat=html,Michael Vose,"Keith Ammon, Michael Harrington, Ruth Ward, Bill Gannon, Hershel Nunez",12/31/2020
21-0718,relative to the nonpayment of rent during the state of emergency.,HB 543,This bill establishes a commission to investigate the implementation of nuclear reactor technology in New Hampshire.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=718&txtFormat=html,Casey Conley,"David Watters, Walter Stapleton, Donovan Fenton, Kristina Schultz, Andrew Bouldin, Matthew Wilhelm, Safiya Wazir, Rebecca McWilliams, David Meuse, Tony Labranche",12/30/2020
21-0719,relative to the priority of child support payments over other court costs and expenses.,,,,Betty Gay,"David Watters, Robert Elliott, Joseph Pitre, Katherine Prudhomme-O'Brien, William Marsh, Charlotte DiLorenzo, Ellen Read, Mark Pearson, Erin Hennessey, Wayne MacDonald",12/9/2020
21-0720,relative to the definition of a controlled drug analog and prohibiting the sale or possession of synthetic urine and urine additives.,HB 542,This bill provides that any prohibition on in-person gatherings during a declared state of emergency shall not apply to houses of worship.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=720&txtFormat=html,Lou D'Allesandro,Cindy Rosenwald,12/30/2020
21-0721,relative to limiting robocalls by automatic dialing devices.,HB 587-FN,This bill requires that drivers' licenses and nondrivers' identification cards indicate whether or not the holder is a citizen of the United States of America.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=721&txtFormat=html,Jacqueline Chretien,"Walter Stapleton, Israel Piedra, Megan Murray, Safiya Wazir, Tony Labranche, Eric Gallager",12/30/2020
21-0722,relative to the qualified voter affidavit.,,,,Ross Berry,,12/30/2020
21-0724,relative to the privacy of personal information retained by a health or social service agency and prohibiting the sharing of such information between such agencies.,HB 535,This bill repeals the qualified voter affidavit and sworn statements on registration forms for use in election day voter registration.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=724&txtFormat=html,Keith Ammon,"Jeanine Notter, Michael Sylvia, Gary Daniels",12/29/2020
21-0725,relative to indicating citizenship or legal residency on drivers' licenses and nondrivers' identification cards.,HB 510,This bill establishes prohibitions and exceptions for the use of  robocalls by automatic dialing devices.  The bill gives the department of justice authority to seek injunctions and assess penalties for violations of the provisions of the act.  The bill also requires an annual report on robocall violations.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=725&txtFormat=html,Betty Gay,"Robert Elliott, Joseph Pitre, Glenn Cordelli, Joe Sweeney, Fred Doucette, Katherine Prudhomme-O'Brien, Peter Hayward, Leah Cushman",12/23/2020
21-0726,relative to the applicability of a state of emergency declaration to a house of worship.,SB 34-FN,"This bill inserts a new definition of controlled drug analog, inserts a prohibition on the sale or possession of synthetic urine and urine additives, and repeals obsolete statutes governing the sale of synthetic drugs.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=726&txtFormat=html,Keith Ammon,"Travis O'Hara, Jim Kofalt",12/28/2020
21-0728,establishing a commission to study nuclear power and nuclear reactor technology in New Hampshire.,HB 550,This bill establishes a procedure for a court to continue an eviction action for a residential property during the state of emergency.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=728&txtFormat=html,Keith Ammon,"Jason Osborne, Michael Vose",12/28/2020
21-0729,relative to potential jurors excused from jury duty due to a lack of residency in the county of jury service.,HB 549,This bill requires the public utilities commission to adopt rules for the energy efficiency resource standard.  The bill also modifies the requirements and procedures for use of the system benefits charge assessed to electric utility customers.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=729&txtFormat=html,Jim Kofalt,,12/29/2020
21-0730,relative to parenting and divorce cases involving allegations of domestic violence.,HB 540,This bill establishes supported decision making as an alternative to guardianship.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=730&txtFormat=html,Betty Gay,"Robert Elliott, Joseph Pitre, Katherine Prudhomme-O'Brien, William Marsh, Charlotte DiLorenzo, Cassandra  Levesque, Susan Vandecasteele",12/30/2020
21-0731,requiring law enforcement agencies to gather and analyze certain demographic information.,,,,Jacqueline Chretien,"Christy Bartlett, Amanda Bouldin, Diane Langley, Andrew Bouldin, Manny Espitia, Matthew Wilhelm, Tony Labranche",12/31/2020
21-0732,relative to the propagation of divisive concepts.  ,HB 511-FN,This bill makes the first 4 convictions for possession of a certain amount of schedule I-IV controlled drugs a misdemeanor offense.  The bill also makes possession of any amount of flunitrazepam (rohypnol) a felony offense.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=732&txtFormat=html,Keith Ammon,Glenn Cordelli,12/22/2020
21-0733,"requiring voters who live outside of the United States and who claim domicile in a New Hampshire city or town to register with the secretary of state.
",HB 548,"This bill provides that if domestic violence is suspected or alleged in a parenting case, the guardian ad litem (GAL} shall refer the victim to a local crisis center or domestic violence counselor.  The bill also directs the GAL to determine whether law enforcement completed a lethality assessment protocol.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=733&txtFormat=html,Jim Kofalt,,12/28/2020
21-0734,relative to the statewide voter database.,,,,Jim Kofalt,"John Mann, Keith Ammon",12/28/2020
21-0735,relative to the physician-patient relationship and the exemption from licensure for physicians in other states or countries.,HB 539,This bill requires that customer information in records of communications common carriers only be provided pursuant to a search warrant or a judicially-recognized exception to the warrant requirement.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=735&txtFormat=html,John Hunt,,12/23/2020
21-0737,relative to standards for mental health courts.,,,,Gerri Cannon,"John Reagan, Steve Shurtleff, Mary Beth Walz, Paul Berch",12/11/2020
